PL,MenDel.Name,Category
PL124,Sox2_DistalLCR_DHS24dT,DHS Level
PL125,Sox2_DistalLCR_DHS24dT~d4TFBS,Sub-DHS Level
PL129,Sox2_hDistalLCR_orthoDHS23toDHS24,DHS Level
PL130,Sox2_hDistalLCR_orthoDHS24,DHS Level
PL130,Sox2_hDistalLCR_orthoDHS24,DHS Level
PL131,Sox2_DistalLCR_DHS24dT~dESRRB,Sub-DHS Level
PL132,Sox2_DistalLCR_DHS24dT~dNuclearreceptorAndSOX,Sub-DHS Level
PL133,Sox2_DistalLCR_DHS24dT~dESRRA,Sub-DHS Level
PL134,Sox2_DistalLCR_DHS24dT~dForkhead,Sub-DHS Level
PL135,Sox2_DistalLCR_DHS24dT~dESRRAandESRRB,Sub-DHS Level
PL136,Sox2_DistalLCR_DHS24dT~mut4TFBS,Sub-DHS Level
PL145,Sox2_DistalLCR_DHS26,DHS Level
PL146,Sox2_DistalLCR_DHS23andDHS26,DHS Level
PL147,Sox2_DistalLCR_DHS24andDHS26,DHS Level
PL148,Sox2_Sox2_d5pProximal~dCTCF13toCTCF14andCTCF17,DHS Level
PL149,Sox2_Sox2_d5pProximal~dCTCF13toCTCF14andCTCF17~dDistalCTCF,DHS Level
PL150,Sox2_DistalLCR_DHS24dT~dESRRBandForkhead,Sub-DHS Level
PL151,Sox2_DistalLCR_DHS24dT~dESRRAandNuclearreceptorandSox,Sub-DHS Level
PL152,Sox2_DistalLCR_DHS24dT~dESRRAandForkhead,Sub-DHS Level
PL153,Sox2_DistalLCR_DHS24dT~dESRRBandESRRAandForkhead,Sub-DHS Level
PL154,Sox2_DistalLCR_DHS24~NuclearreceptorAndSox,Sub-DHS Level
PL155,Sox2_DistalLCR_DHS23dCandDHS24dT,DHS Level
PL156,Sox2_DistalLCR_DHS23dC~d7TFBSandDHS24dT,Sub-DHS Level
PL157,Sox2_DistalLCR_DHS26~minimal,DHS Level
PL158,Sox2_DistalLCR_DHS26~minimal~d4TFBS,Sub-DHS Level
PL162,Sox2_DistalLCR_DHS23dC~d8TFBSandDHS24dT,Sub-DHS Level
PL163,Sox2_DistalLCR_DHS20,DHS Level
PL164,Sox2_DistalLCR_DHS19andDHS20,DHS Level
PL165,Sox2_DistalLCR_CTCF25toDHS26,DHS Level
PL168,Sox2_DistalLCR_DHS19andCTCF25toDHS26,DHS Level
PL169,Sox2_DistalLCR_DHS20andCTCF25toDHS26,DHS Level
PL173,Prdm14_Prdm14_DHS52~31~22,DHS Level
PL180,Prdm14_Prdm14_DHS52~48~41~31short~30~22,DHS Level
PL182,Prdm14_Prdm14_DHS66~41~22,DHS Level
PL188,Sox2_DistalLCR_DHS19andDHS23,DHS Level
PL189,Sox2_DistalLCR_DHS20andDHS23,DHS Level
PL190,Sox2_DistalLCR_DHS19andDHS24,DHS Level
PL191,Sox2_DistalLCR_DHS20andDHS24,DHS Level
PL192,Sox2_DistalLCR_DHS23dC~dFoxc1andZIC3andHOXC11andLhx8andZIC4andTFAP2CandDHS24dT,Sub-DHS Level
PL195,Sox2_DistalLCR_DHS23dC~dHOXC11andLhx8andZIC4andTFAP2CandDHS24dT,Sub-DHS Level
PL196,Sox2_DistalLCR_truncDHS23~dTBX21andESRRAandFoxc1andZIC3andDHS24dT,Sub-DHS Level
PL197,Sox2_DistalLCR_truncDHS23~dTBX21andESRRAandFoxc1andDHS24dT,Sub-DHS Level
PL198,Sox2_DistalLCR_DHS23dC~dFoxc1andZIC3andDHS24dT,Sub-DHS Level
PL199,Sox2_DistalLCR_DHS19andDHS20andDHS23,DHS Level
PL200,Sox2_DistalLCR_DHS19andDHS20andDHS24,DHS Level
PL201,EnhancerCluster_HPRT1Rspacer_Sox2DHS23toSox2DHS24~invertedSpacer,DHS Level
PL202,EnhancerCluster_HPRT1Rspacer_Sox2DHS23andSox2DHS24,DHS Level
PL203,EnhancerCluster_Single_Sox2DHS23,DHS Level
PL204,EnhancerCluster_Single_Sox2DHS24,DHS Level
PL205,EnhancerCluster_Single_NanogDHS47up,DHS Level
PL206,EnhancerCluster_Single_NanogDHS48up,DHS Level
PL207,EnhancerCluster_Single_NanogDHS57dn,DHS Level
PL208,EnhancerCluster_Single_NanogDHS58dn,DHS Level
PL209,EnhancerCluster_Single_NanogDHS55dn,DHS Level
PL210,EnhancerCluster_Pair_Sox2DHS23andSox2DHS24,DHS Level
PL211,EnhancerCluster_Pair_Sox2DHS23andNanogDHS47up,DHS Level
PL212,EnhancerCluster_Pair_Sox2DHS23andNanogDHS48up,DHS Level
PL213,EnhancerCluster_Pair_Sox2DHS23andNanogDHS57dn,DHS Level
PL214,EnhancerCluster_Pair_Sox2DHS23andNanogDHS58dn,DHS Level
PL215,EnhancerCluster_Pair_Sox2DHS23andNanogDHS55dn,DHS Level
